"race","week","gender","count"
"Black","2018-44","Female",57
"Black","2018-44","Male",198
"Black","2018-44","Unknown",1
"Black","2018-45","Female",42
"Black","2018-45","Male",185
"Black","2018-45","Unknown",2
"Black","2018-46","Female",49
"Black","2018-46","Unknown",1
"Black","2018-46","Male",190
"Black","2018-47","Female",38
"Black","2018-47","Unknown",1
"Black","2018-47","Male",150
"Black","2018-47","Unknown",1
"Black","2018-48","Female",27
"Black","2018-48","Male",127
"Black","2018-48","Unknown",2
"Black","2018-49","Female",30
"Black","2018-49","Male",139
"Black","2018-49","Unknown",1
"Black","2018-50","Female",44
"Black","2018-50","Unknown",1
"Black","2018-50","Male",195
"Black","2018-50","Unknown",3
"Black","2018-51","Female",50
"Black","2018-51","Male",197
"Black","2018-51","Unknown",3
"Black","2018-52","Female",62
"Black","2018-52","Male",166
"Black","2018-52","Unknown",2
"Black","2019-01","Female",66
"Black","2019-01","Male",189
"Black","2019-02","Female",62
"Black","2019-02","Unknown",1
"Black","2019-02","Male",203
"Black","2019-03","Female",45
"Black","2019-03","Male",160
"Black","2019-04","Female",29
"Black","2019-04","Male",141
"Black","2019-04","Unknown",2
"Black","2019-05","Female",37
"Black","2019-05","Male",117
"Black","2019-05","Unknown",1
"Black","2019-06","Female",31
"Black","2019-06","Male",126
"Black","2019-07","Female",31
"Black","2019-07","Male",130
"Black","2019-08","Female",37
"Black","2019-08","Male",136
"Black","2019-09","Female",26
"Black","2019-09","Male",124
"Black","2019-10","Female",28
"Black","2019-10","Male",166
"Black","2019-11","Female",46
"Black","2019-11","Male",208
"Black","2019-12","Female",61
"Black","2019-12","Male",235
"Black","2019-12","Unknown",2
"Black","2019-13","Female",56
"Black","2019-13","Unknown",1
"Black","2019-13","Male",225
"Black","2019-14","Female",56
"Black","2019-14","Male",210
"Black","2019-15","Female",26
"Black","2019-15","Male",138
"Black","2019-16","Female",54
"Black","2019-16","Male",180
"Black","2019-16","Unknown",5
"Black","2019-17","Female",47
"Black","2019-17","Male",158
"Black","2019-17","Unknown",2
"Black","2019-18","Female",49
"Black","2019-18","Male",151
"Black","2019-18","Unknown",3
"Black","2019-19","Female",52
"Black","2019-19","Male",158
"Black","2019-19","Unknown",1
"Black","2019-20","Female",34
"Black","2019-20","Male",131
"Black","2019-20","Unknown",2
"Black","2019-21","Female",50
"Black","2019-21","Male",210
"Black","2019-21","Unknown",2
"Black","2019-22","Female",50
"Black","2019-22","Male",210
"Black","2019-22","Unknown",3
"Black","2019-23","Female",46
"Black","2019-23","Male",208
"Black","2019-23","Unknown",7
"Black","2019-24","Female",34
"Black","2019-24","Male",176
"Black","2019-24","Unknown",1
"Black","2019-25","Female",43
"Black","2019-25","Male",161
"Black","2019-25","Unknown",1
"Black","2019-26","Female",47
"Black","2019-26","Male",178
"Black","2019-26","Unknown",1
"Black","2019-27","Female",41
"Black","2019-27","Male",217
"Black","2019-27","Unknown",4
"Black","2019-28","Female",56
"Black","2019-28","Male",250
"Black","2019-28","Unknown",1
"Black","2019-29","Female",74
"Black","2019-29","Male",258
"Black","2019-29","Unknown",3
"Black","2019-30","Female",54
"Black","2019-30","Male",225
"Black","2019-30","Unknown",6
"Black","2019-31","Female",56
"Black","2019-31","Male",232
"Black","2019-31","Unknown",4
"Black","2019-32","Female",54
"Black","2019-32","Unknown",1
"Black","2019-32","Male",227
"Black","2019-32","Unknown",4
"Black","2019-33","Female",45
"Black","2019-33","Male",185
"Black","2019-34","Female",59
"Black","2019-34","Male",255
"Black","2019-34","Unknown",3
"Black","2019-35","Female",68
"Black","2019-35","Male",242
"Black","2019-36","Female",64
"Black","2019-36","Male",235
"Black","2019-36","Unknown",5
"Black","2019-37","Female",60
"Black","2019-37","Male",184
"Black","2019-38","Female",59
"Black","2019-38","Unknown",2
"Black","2019-38","Male",245
"Black","2019-38","Unknown",2
"Black","2019-39","Female",73
"Black","2019-39","Unknown",3
"Black","2019-39","Male",259
"Black","2019-39","Unknown",1
"Black","2019-40","Female",60
"Black","2019-40","Unknown",1
"Black","2019-40","Male",220
"Black","2019-40","Unknown",2
"Black","2019-41","Female",46
"Black","2019-41","Male",155
"Black","2019-42","Female",46
"Black","2019-42","Male",162
"Black","2019-42","Unknown",1
"Black","2019-43","Female",55
"Black","2019-43","Unknown",1
"Black","2019-43","Male",169
"Black","2019-44","Female",51
"Black","2019-44","Male",176
"Black","2019-45","Female",55
"Black","2019-45","Male",210
"Black","2019-45","Unknown",2
"Black","2019-46","Female",42
"Black","2019-46","Male",166
"Black","2019-46","Unknown",1
"Black","2019-47","Female",57
"Black","2019-47","Male",157
"Black","2019-47","Unknown",1
"Black","2019-48","Female",24
"Black","2019-48","Male",114
"Black","2019-49","Female",38
"Black","2019-49","Male",119
"Black","2019-50","Female",35
"Black","2019-50","Male",89
"Black","2019-50","Unknown",1
"Black","2019-51","Female",28
"Black","2019-51","Male",145
"Black","2019-52","Female",36
"Black","2019-52","Male",141
"Black","2019-52","Unknown",3
"Black","2020-01","Female",24
"Black","2020-01","Unknown",2
"Black","2020-01","Male",125
"Black","2020-02","Female",60
"Black","2020-02","Unknown",1
"Black","2020-02","Male",171
"Black","2020-02","Unknown",1
"Black","2020-03","Female",39
"Black","2020-03","Male",164
"Black","2020-03","Unknown",3
"Black","2020-04","Female",56
"Black","2020-04","Unknown",1
"Black","2020-04","Male",175
"Black","2020-04","Unknown",1
"Black","2020-05","Female",50
"Black","2020-05","Male",205
"Black","2020-05","Unknown",1
"Black","2020-06","Female",54
"Black","2020-06","Unknown",1
"Black","2020-06","Male",216
"Black","2020-06","Unknown",2
"Black","2020-07","Female",54
"Black","2020-07","Male",151
"Black","2020-08","Female",49
"Black","2020-08","Male",170
"Black","2020-08","Unknown",1
"Black","2020-09","Female",60
"Black","2020-09","Male",217
"Black","2020-10","Female",76
"Black","2020-10","Male",264
"Black","2020-11","Female",57
"Black","2020-11","Male",225
"Black","2020-11","Unknown",1
"Black","2020-12","Female",39
"Black","2020-12","Male",174
"Black","2020-13","Female",35
"Black","2020-13","Male",161
"Black","2020-14","Female",71
"Black","2020-14","Male",178
"Black","2020-14","Unknown",3
"Black","2020-15","Female",62
"Black","2020-15","Unknown",2
"Black","2020-15","Male",180
"Black","2020-15","Unknown",1
"Black","2020-16","Female",59
"Black","2020-16","Male",204
"Black","2020-17","Female",68
"Black","2020-17","Male",226
"Black","2020-17","Unknown",3
"Black","2020-18","Female",68
"Black","2020-18","Unknown",2
"Black","2020-18","Male",226
"Black","2020-18","Unknown",3
"Black","2020-19","Female",86
"Black","2020-19","Male",291
"Black","2020-19","Unknown",1
"Black","2020-20","Female",76
"Black","2020-20","Male",254
"Black","2020-20","Unknown",6
"Black","2020-21","Female",52
"Black","2020-21","Unknown",1
"Black","2020-21","Male",204
"Black","2020-21","Unknown",1
"Black","2020-22","Female",16
"Black","2020-22","Male",73
"Black","2020-23","Female",17
"Black","2020-23","Unknown",1
"Black","2020-23","Male",92
"Black","2020-23","Unknown",3
"Black","2020-24","Female",5
"Black","2020-24","Male",7
"East African","2016-44","Female",4
"East African","2016-44","Male",10
"East African","2016-45","Female",7
"East African","2016-45","Male",19
"East African","2016-46","Female",5
"East African","2016-46","Male",22
"East African","2016-46","Unknown",1
"East African","2016-47","Female",9
"East African","2016-47","Male",27
"East African","2016-48","Female",6
"East African","2016-48","Male",24
"East African","2016-49","Female",6
"East African","2016-49","Male",13
